Reach_ID,Node_ID,X,Y,Time (dd-mm-yyyy),Q (m^3/s daily),Qu (m),D (m),Du (m),V (m/s),Vu (m/s)
23267000131,-9999,7.800342964492560,48.517893002465500,    '15-11-1980',36.366,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '16-11-1980',30.186,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '17-11-1980',47.271,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '18-11-1980',61.383,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '19-11-1980',45.125,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '20-11-1980',39.168,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '21-11-1980',35.186,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '22-11-1980',30.574,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '23-11-1980',29.028,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '24-11-1980',27.953,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '25-11-1980',34.217,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '26-11-1980',37.52,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '27-11-1980',31.4,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '28-11-1980',29.72,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '29-11-1980',28.494,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '30-11-1980',26.176,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '01-12-1980',26.472,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '02-12-1980',25.498,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '03-12-1980',25.049,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '04-12-1980',24.538,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '05-12-1980',40.744,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '06-12-1980',37.18,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '07-12-1980',30.808,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '08-12-1980',30.103,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '09-12-1980',27.862,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '10-12-1980',24.969,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '11-12-1980',23.02,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '12-12-1980',21.601,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '13-12-1980',48.379,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '14-12-1980',217.447,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '15-12-1980',189.837,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '16-12-1980',111.333,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '17-12-1980',85.823,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '18-12-1980',73.405,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '19-12-1980',62.377,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '20-12-1980',82.6,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '21-12-1980',65.4,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '22-12-1980',58.382,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '23-12-1980',77.861,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '24-12-1980',77.868,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '25-12-1980',87.705,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '26-12-1980',73.897,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '27-12-1980',63.076,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '28-12-1980',51.553,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '29-12-1980',45.58,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '30-12-1980',40.963,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '31-12-1980',33.697,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '01-01-1981',29.405,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '02-01-1981',67.728,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '03-01-1981',148.486,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '04-01-1981',72.594,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '05-01-1981',74.159,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '06-01-1981',62.987,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '07-01-1981',59.357,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '08-01-1981',50.412,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '09-01-1981',45.738,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '10-01-1981',42.267,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '11-01-1981',39.576,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '12-01-1981',36.644,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '13-01-1981',33.795,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '14-01-1981',34.499,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '15-01-1981',34.113,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '16-01-1981',35.79,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '17-01-1981',45.265,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '18-01-1981',41.79,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '19-01-1981',56.15,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '20-01-1981',41.146,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '21-01-1981',35.94,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '22-01-1981',32.472,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '23-01-1981',29.822,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '24-01-1981',28.025,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '25-01-1981',27.978,-9999,-9999,-9999,-9999,-9999
